dnaSampleID
PUUM_004-O-20240108-comp-DNA1
PUUM_006-O-20240102-comp-DNA1
PUUM_007-O-20240108-comp-DNA1
PUUM_010-O-20240102-comp-DNA1
PUUM_014-O-20240108-comp-DNA1
PUUM_015-O-20240108-comp-DNA1
PUUM_034-O-20240102-comp-DNA1
PUUM_036-O-20240108-comp-DNA1
PUUM_040-O-20240110-comp-DNA1
PUUM_042-O-20240102-comp-DNA1
SJER_001-M-20240219-comp-DNA1
SJER_002-M-20240220-comp-DNA1
SJER_003-M-20240221-comp-DNA1
SJER_005-M-20240222-comp-DNA1
SJER_025-M-20240221-comp-DNA1
SJER_045-M-20240219-comp-DNA1
SJER_046-M-20240219-comp-DNA1
SJER_048-M-20240220-comp-DNA1
CLBJ_001-M-20240409-comp-DNA2
CLBJ_002-M-20240411-comp-DNA2
CLBJ_003-M-20240410-comp-DNA1
CLBJ_006-M-20240411-comp-DNA1
CLBJ_032-M-20240411-comp-DNA1
CLBJ_033-M-20240409-comp-DNA1
CLBJ_038-M-20240411-comp-DNA1
CLBJ_040-M-20240410-comp-DNA1
ONAQ_002-M-20240603-comp-DNA1
ONAQ_003-M-20240605-comp-DNA1
ONAQ_004-M-20240604-comp-DNA1
ONAQ_005-M-20240605-comp-DNA1
ONAQ_008-M-20240603-comp-DNA1
ONAQ_010-M-20240605-comp-DNA1
ONAQ_041-M-20240603-comp-DNA1
ONAQ_042-M-20240603-comp-DNA1
ONAQ_043-M-20240604-comp-DNA1
ONAQ_044-M-20240604-comp-DNA1
KONA_001-M-20240618-comp-DNA1
KONA_002-M-20240618-comp-DNA1
KONA_003-M-20240620-comp-DNA1
KONA_004-M-20240618-comp-DNA1
KONA_005-M-20240618-comp-DNA1
KONA_006-M-20240620-comp-DNA1
KONA_048-M-20240617-comp-DNA1
KONA_054-M-20240617-comp-DNA1
KONA_057-M-20240617-comp-DNA1
KONA_059-M-20240617-comp-DNA1
BONA_001-M-20240710-comp-DNA1
BONA_001-O-20240710-comp-DNA1
BONA_002-M-20240709-comp-DNA1
BONA_002-O-20240709-comp-DNA1
BONA_004-M-20240710-comp-DNA1
BONA_004-O-20240710-comp-DNA1
BONA_006-M-20240711-comp-DNA1
BONA_006-O-20240711-comp-DNA1
BONA_009-M-20240712-comp-DNA1
BONA_013-M-20240710-comp-DNA1
BONA_013-O-20240710-comp-DNA1
BONA_070-M-20240708-comp-DNA1
BONA_070-O-20240708-comp-DNA1
BONA_071-M-20240708-comp-DNA1
BONA_071-O-20240708-comp-DNA1
BONA_080-M-20240709-comp-DNA1
BONA_080-O-20240709-comp-DNA1
BONA_084-M-20240708-comp-DNA1
BONA_084-O-20240708-comp-DNA1
SCBI_003-M-20240723-comp-DNA1
SCBI_004-M-20240723-comp-DNA1
SCBI_006-M-20240722-comp-DNA1
SCBI_007-M-20240722-comp-DNA1
SCBI_008-M-20240725-comp-DNA1
SCBI_010-M-20240723-comp-DNA1
SCBI_045-M-20240722-comp-DNA1
SCBI_047-M-20240724-comp-DNA1
SCBI_049-M-20240724-comp-DNA1
SCBI_067-M-20240724-comp-DNA1
DELA_001-M-20240709-comp-DNA1
DELA_002-M-20240708-comp-DNA1
DELA_003-M-20240708-comp-DNA1
DELA_004-M-20240708-comp-DNA1
DELA_005-M-20240708-comp-DNA1
DELA_014-M-20240708-comp-DNA1
DELA_037-M-20240709-comp-DNA1
DELA_038-M-20240708-comp-DNA1
DELA_040-M-20240709-comp-DNA1
DELA_041-M-20240708-comp-DNA1
