uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release
8cf679a4-bb00-4645-a488-0acc16fb18fb,D01,HARV,HARV_001,HARV_001.basePlot.bgc,2022-10-11T13:29:00Z,2022-10-11T13:29:00Z,2022-10-21,HARV_001-O-23-20221011,A00000153411,HARV_001-O-23-20221011-PH,NEON.DOC.014048vO,O,3.54,2.8,2.6,20,7.8,2.6,40,15.5,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
50f3d562-ba9d-4227-8f28-05b4a40c1a5f,D01,HARV,HARV_001,HARV_001.basePlot.bgc,2022-10-11T14:04:00Z,2022-10-11T14:04:00Z,2022-10-21,HARV_001-O-21-20221011,A00000153395,HARV_001-O-21-20221011-PH,NEON.DOC.014048vO,O,4.31,3.67,2.5,20,8,2.5,40,16,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
aa0f968e-a707-4781-8671-1874a5f0e2db,D01,HARV,HARV_001,HARV_001.basePlot.bgc,2022-10-11T14:45:00Z,2022-10-11T14:45:00Z,2022-10-19,HARV_001-O-39-20221011,A00000153394,HARV_001-O-39-20221011-PH,NEON.DOC.014048vO,O,3.91,3.4,2.5,20,8,2.5,40,16,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
fb624529-2287-4f46-838c-8f473f0df3c2,D01,HARV,HARV_013,HARV_013.basePlot.bgc,2022-10-11T15:56:00Z,2022-10-11T15:56:00Z,2022-10-20,HARV_013-O-39-20221011,A00000153404,HARV_013-O-39-20221011-PH,NEON.DOC.014048vO,O,4.03,3.33,2.6,20,7.8,2.6,40,15.5,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
75794aca-5bd4-4a77-af55-ffba920d37a1,D01,HARV,HARV_013,HARV_013.basePlot.bgc,2022-10-11T16:26:00Z,2022-10-11T16:26:00Z,2022-10-20,HARV_013-O-41-20221011,A00000153403,HARV_013-O-41-20221011-PH,NEON.DOC.014048vO,O,3.82,3.22,2.6,20,7.8,2.6,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
7a164659-c397-4a17-a4a5-c0419ae0d5b8,D01,HARV,HARV_013,HARV_013.basePlot.bgc,2022-10-11T16:49:00Z,2022-10-11T16:49:00Z,2022-10-20,HARV_013-O-23-20221011,A00000153402,HARV_013-O-23-20221011-PH,NEON.DOC.014048vO,O,4.38,3.75,2.6,20,7.8,2.6,40,15.6,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
e2c787b1-0e58-448f-852a-6f4b605654b4,D01,HARV,HARV_002,HARV_002.basePlot.bgc,2022-10-12T13:01:00Z,2022-10-12T13:01:00Z,2022-10-21,HARV_002-O-39-20221012,A00000153396,HARV_002-O-39-20221012-PH,NEON.DOC.014048vO,O,3.76,3,2.5,20,7.9,2.5,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
fc7dfb55-065f-4445-8f96-a3c2c1cf6c87,D01,HARV,HARV_002,HARV_002.basePlot.bgc,2022-10-12T13:07:00Z,2022-10-12T13:07:00Z,2022-10-21,HARV_002-O-23-20221012,A00000153412,HARV_002-O-23-20221012-PH,NEON.DOC.014048vO,O,4.12,3.73,2.5,20,7.9,2.5,40,15.9,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
d1f5f374-6fb6-48cc-8f0f-42dac9ad7066,D01,HARV,HARV_002,HARV_002.basePlot.bgc,2022-10-12T13:37:00Z,2022-10-12T13:37:00Z,2022-10-21,HARV_002-O-41-20221012,A00000153413,HARV_002-O-41-20221012-PH,NEON.DOC.014048vO,O,4.25,3.55,2.6,20,7.8,2.6,40,15.6,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
3a2ba2a5-4169-44d8-93cd-7e850ace6d16,D01,HARV,HARV_005,HARV_005.basePlot.bgc,2022-10-12T15:35:00Z,2022-10-12T15:35:00Z,2022-10-21,HARV_005-O-21-20221012,A00000153401,HARV_005-O-21-20221012-PH,NEON.DOC.014048vO,O,4.35,3.55,2.5,20,7.9,2.5,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
a5d7ea45-2c7d-42fd-954a-8bd9bc892b3c,D01,HARV,HARV_005,HARV_005.basePlot.bgc,2022-10-12T16:06:00Z,2022-10-12T16:06:00Z,2022-10-21,HARV_005-O-39-20221012,A00000153400,HARV_005-O-39-20221012-PH,NEON.DOC.014048vO,O,4.24,3.45,2.5,20,7.9,2.5,40,15.8,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
